,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
10,,77077,[],CHEMBL658343,Inhibitory concentration against human recombinant Cathepsin S expressed in baculovirus,B,BAO_0000190,BAO_0000019,assay format,CC(C)(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@@H](COCc2ccccc2)C#N,,,CHEMBL1135569,J. Med. Chem.,2002,"{'bei': '19.44', 'le': '0.37', 'lle': '6.04', 'sei': '7.81'}",CHEMBL153783,,CHEMBL153783,8.1,False,http://www.openphacts.org/units/Nanomolar,296598,=,1,True,=,,IC50,nM,,8,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,IC50,nM,UO_0000065,,8
11,,77078,[],CHEMBL658345,Equilibrium dissociation constant determined using fluorescence based competitive binding assay towards Cathepsin S,B,BAO_0000034,BAO_0000357,single protein format,CC(C)(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@@H](COCc2ccccc2)C#N,,,CHEMBL1135569,J. Med. Chem.,2002,"{'bei': '22.14', 'le': '0.42', 'lle': '7.16', 'sei': '8.89'}",CHEMBL153783,,CHEMBL153783,9.22,False,http://www.openphacts.org/units/Nanomolar,296598,=,1,True,=,,Kd,nM,,0.6,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,Kd,nM,UO_0000065,,0.6
12,,77080,[],CHEMBL658343,Inhibitory concentration against human recombinant Cathepsin S expressed in baculovirus,B,BAO_0000190,BAO_0000019,assay format,Clc1ccccc1COC[C@H](NC(=O)[C@H](CC2CCCCC2)NC(=O)N3CCOCC3)C#N,,,CHEMBL1135569,J. Med. Chem.,2002,"{'bei': '16.97', 'le': '0.34', 'lle': '4.85', 'sei': '7.81'}",CHEMBL150253,,CHEMBL150253,8.1,False,http://www.openphacts.org/units/Nanomolar,296593,=,1,True,=,,IC50,nM,,8,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,IC50,nM,UO_0000065,,8
13,,77081,[],CHEMBL658345,Equilibrium dissociation constant determined using fluorescence based competitive binding assay towards Cathepsin S,B,BAO_0000034,BAO_0000357,single protein format,Clc1ccccc1COC[C@H](NC(=O)[C@H](CC2CCCCC2)NC(=O)N3CCOCC3)C#N,,,CHEMBL1135569,J. Med. Chem.,2002,"{'bei': '19.7', 'le': '0.39', 'lle': '6.15', 'sei': '9.06'}",CHEMBL150253,,CHEMBL150253,9.4,False,http://www.openphacts.org/units/Nanomolar,296593,=,1,True,=,,Kd,nM,,0.4,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,Kd,nM,UO_0000065,,0.4
14,,78223,[],CHEMBL658343,Inhibitory concentration against human recombinant Cathepsin S expressed in baculovirus,B,BAO_0000190,BAO_0000019,assay format,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)NCC#N,,,CHEMBL1135569,J. Med. Chem.,2002,"{'bei': '24.46', 'le': '0.47', 'lle': '6.83', 'sei': '7.31'}",CHEMBL153370,,CHEMBL153370,6.91,False,http://www.openphacts.org/units/Nanomolar,296602,=,1,True,=,,IC50,nM,,124,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,IC50,nM,UO_0000065,,124
15,Not Determined,78224,[],CHEMBL658349,Equilibrium dissociation constant for Cathepsin S; ND is Not Determined,B,BAO_0000034,BAO_0000357,single protein format,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)NCC#N,,,CHEMBL1135569,J. Med. Chem.,2002,,CHEMBL153370,,CHEMBL153370,,False,,296602,,1,False,,,Kd,,,,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,Kd,,,,
16,,78225,[],CHEMBL658343,Inhibitory concentration against human recombinant Cathepsin S expressed in baculovirus,B,BAO_0000190,BAO_0000019,assay format,CC(C)(NC(=O)[C@H](CC1CCCCC1)NC(=O)N2CCOCC2)C#N,,,CHEMBL1135569,J. Med. Chem.,2002,"{'bei': '22.17', 'le': '0.42', 'lle': '5.98', 'sei': '8.23'}",CHEMBL150358,,CHEMBL150358,7.77,False,http://www.openphacts.org/units/Nanomolar,296591,=,1,True,=,,IC50,nM,,17,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,IC50,nM,UO_0000065,,17
17,,78226,[],CHEMBL658345,Equilibrium dissociation constant determined using fluorescence based competitive binding assay towards Cathepsin S,B,BAO_0000034,BAO_0000357,single protein format,CC(C)(NC(=O)[C@H](CC1CCCCC1)NC(=O)N2CCOCC2)C#N,,,CHEMBL1135569,J. Med. Chem.,2002,"{'bei': '23.96', 'le': '0.46', 'lle': '6.61', 'sei': '8.89'}",CHEMBL150358,,CHEMBL150358,8.4,False,http://www.openphacts.org/units/Nanomolar,296591,=,1,True,=,,Kd,nM,,4,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,Kd,nM,UO_0000065,,4
18,,78228,[],CHEMBL658343,Inhibitory concentration against human recombinant Cathepsin S expressed in baculovirus,B,BAO_0000190,BAO_0000019,assay format,CC(C)C[C@](C)(NC(=O)N1CCOCC1)C(=O)N[C@@H](CCc2ccccc2)C#N,,,CHEMBL1135569,J. Med. Chem.,2002,"{'bei': '10.28', 'le': '0.19', 'lle': '1.65', 'sei': '4.36'}",CHEMBL358704,,CHEMBL358704,4.12,False,http://www.openphacts.org/units/Nanomolar,296613,=,1,True,=,,IC50,nM,,76000,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,IC50,nM,UO_0000065,,76000
19,Not Determined,78229,[],CHEMBL658349,Equilibrium dissociation constant for Cathepsin S; ND is Not Determined,B,BAO_0000034,BAO_0000357,single protein format,CC(C)C[C@](C)(NC(=O)N1CCOCC1)C(=O)N[C@@H](CCc2ccccc2)C#N,,,CHEMBL1135569,J. Med. Chem.,2002,,CHEMBL358704,,CHEMBL358704,,False,,296613,,1,False,,,Kd,,,,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,Kd,,,,
20,,79317,[],CHEMBL658343,Inhibitory concentration against human recombinant Cathepsin S expressed in baculovirus,B,BAO_0000190,BAO_0000019,assay format,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@@H](COCc2ccccc2)C#N,,,CHEMBL1135569,J. Med. Chem.,2002,"{'bei': '19.18', 'le': '0.36', 'lle': '6.05', 'sei': '7.45'}",CHEMBL153813,,CHEMBL153813,7.72,False,http://www.openphacts.org/units/Nanomolar,296605,=,1,True,=,,IC50,nM,,19,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,IC50,nM,UO_0000065,,19
21,,79318,[],CHEMBL658345,Equilibrium dissociation constant determined using fluorescence based competitive binding assay towards Cathepsin S,B,BAO_0000034,BAO_0000357,single protein format,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@@H](COCc2ccccc2)C#N,,,CHEMBL1135569,J. Med. Chem.,2002,"{'bei': '23.66', 'le': '0.45', 'lle': '7.85', 'sei': '9.18'}",CHEMBL153813,,CHEMBL153813,9.52,False,http://www.openphacts.org/units/Nanomolar,296605,=,1,True,=,,Kd,nM,,0.3,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,Kd,nM,UO_0000065,,0.3
22,,81678,[],CHEMBL658343,Inhibitory concentration against human recombinant Cathepsin S expressed in baculovirus,B,BAO_0000190,BAO_0000019,assay format,CCCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)N1CCOCC1)C#N,,,CHEMBL1135569,J. Med. Chem.,2002,"{'bei': '21.43', 'le': '0.41', 'lle': '5.61', 'sei': '7.68'}",CHEMBL435245,,CHEMBL435245,7.25,False,http://www.openphacts.org/units/Nanomolar,296618,=,1,True,=,,IC50,nM,,56,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,IC50,nM,UO_0000065,,56
23,Not Determined,81679,[],CHEMBL658349,Equilibrium dissociation constant for Cathepsin S; ND is Not Determined,B,BAO_0000034,BAO_0000357,single protein format,CCCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)N1CCOCC1)C#N,,,CHEMBL1135569,J. Med. Chem.,2002,,CHEMBL435245,,CHEMBL435245,,False,,296618,,1,False,,,Kd,,,,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,Kd,,,,
24,,81680,[],CHEMBL658343,Inhibitory concentration against human recombinant Cathepsin S expressed in baculovirus,B,BAO_0000190,BAO_0000019,assay format,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@@H](COCc2ccc(Cl)cc2)C#N,,,CHEMBL1135569,J. Med. Chem.,2002,"{'bei': '17.32', 'le': '0.34', 'lle': '5.25', 'sei': '7.3'}",CHEMBL151642,,CHEMBL151642,7.57,False,http://www.openphacts.org/units/Nanomolar,296615,=,1,True,=,,IC50,nM,,27,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,IC50,nM,UO_0000065,,27
25,,81681,[],CHEMBL658345,Equilibrium dissociation constant determined using fluorescence based competitive binding assay towards Cathepsin S,B,BAO_0000034,BAO_0000357,single protein format,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@@H](COCc2ccc(Cl)cc2)C#N,,,CHEMBL1135569,J. Med. Chem.,2002,"{'bei': '19.91', 'le': '0.4', 'lle': '6.38', 'sei': '8.39'}",CHEMBL151642,,CHEMBL151642,8.7,False,http://www.openphacts.org/units/Nanomolar,296615,=,1,True,=,,Kd,nM,,2,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,Kd,nM,UO_0000065,,2
26,,82716,[],CHEMBL658343,Inhibitory concentration against human recombinant Cathepsin S expressed in baculovirus,B,BAO_0000190,BAO_0000019,assay format,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@H](C#N)C(C)(C)C,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1135569,J. Med. Chem.,2002,,CHEMBL357117,,CHEMBL357117,,False,http://www.openphacts.org/units/Nanomolar,296619,=,1,True,=,,IC50,nM,,107000,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,IC50,nM,UO_0000065,,107000
27,Not Determined,82717,[],CHEMBL658349,Equilibrium dissociation constant for Cathepsin S; ND is Not Determined,B,BAO_0000034,BAO_0000357,single protein format,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@H](C#N)C(C)(C)C,,,CHEMBL1135569,J. Med. Chem.,2002,,CHEMBL357117,,CHEMBL357117,,False,,296619,,1,False,,,Kd,,,,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,Kd,,,,
28,,82718,[],CHEMBL658343,Inhibitory concentration against human recombinant Cathepsin S expressed in baculovirus,B,BAO_0000190,BAO_0000019,assay format,O=C(N[C@@H](CCc1ccccc1)C#N)[C@H](CC2CCCCC2)NC(=O)N3CCOCC3,,,CHEMBL1135569,J. Med. Chem.,2002,"{'bei': '19.46', 'le': '0.37', 'lle': '5.29', 'sei': '8.79'}",CHEMBL153239,,CHEMBL153239,8.3,False,http://www.openphacts.org/units/Nanomolar,296599,=,1,True,=,,IC50,nM,,5,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,IC50,nM,UO_0000065,,5
29,,82719,[],CHEMBL658345,Equilibrium dissociation constant determined using fluorescence based competitive binding assay towards Cathepsin S,B,BAO_0000034,BAO_0000357,single protein format,O=C(N[C@@H](CCc1ccccc1)C#N)[C@H](CC2CCCCC2)NC(=O)N3CCOCC3,,,CHEMBL1135569,J. Med. Chem.,2002,"{'bei': '21.33', 'le': '0.4', 'lle': '6.09', 'sei': '9.63'}",CHEMBL153239,,CHEMBL153239,9.1,False,http://www.openphacts.org/units/Nanomolar,296599,=,1,True,=,,Kd,nM,,0.8,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,Kd,nM,UO_0000065,,0.8
30,,83706,[],CHEMBL658343,Inhibitory concentration against human recombinant Cathepsin S expressed in baculovirus,B,BAO_0000190,BAO_0000019,assay format,O=C(N[C@@H](COCc1ccccc1)C#N)[C@H](CC2CCCCC2)NC(=O)N3CCOCC3,,,CHEMBL1135569,J. Med. Chem.,2002,"{'bei': '18.58', 'le': '0.35', 'lle': '5.63', 'sei': '7.93'}",CHEMBL347111,,CHEMBL347111,8.22,True,http://www.openphacts.org/units/Nanomolar,296597,=,1,True,=,,IC50,nM,,6,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,IC50,nM,UO_0000065,,6
31,,83707,[],CHEMBL658345,Equilibrium dissociation constant determined using fluorescence based competitive binding assay towards Cathepsin S,B,BAO_0000034,BAO_0000357,single protein format,O=C(N[C@@H](COCc1ccccc1)C#N)[C@H](CC2CCCCC2)NC(=O)N3CCOCC3,,,CHEMBL1135569,J. Med. Chem.,2002,"{'bei': '21.24', 'le': '0.4', 'lle': '6.81', 'sei': '9.06'}",CHEMBL347111,,CHEMBL347111,9.4,False,http://www.openphacts.org/units/Nanomolar,296597,=,1,True,=,,Kd,nM,,0.4,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,Kd,nM,UO_0000065,,0.4
32,,84684,[],CHEMBL658343,Inhibitory concentration against human recombinant Cathepsin S expressed in baculovirus,B,BAO_0000190,BAO_0000019,assay format,CC(C)CC[C@H](NC(=O)N1CCOCC1)C(=O)N[C@H](CCc2ccccc2)C#N,,,CHEMBL1135569,J. Med. Chem.,2002,"{'bei': '16.01', 'le': '0.3', 'lle': '3.94', 'sei': '6.79'}",CHEMBL358829,,CHEMBL358829,6.41,False,http://www.openphacts.org/units/Nanomolar,296607,=,1,True,=,,IC50,nM,,387,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,IC50,nM,UO_0000065,,387
33,,84685,[],CHEMBL658345,Equilibrium dissociation constant determined using fluorescence based competitive binding assay towards Cathepsin S,B,BAO_0000034,BAO_0000357,single protein format,CC(C)CC[C@H](NC(=O)N1CCOCC1)C(=O)N[C@H](CCc2ccccc2)C#N,,,CHEMBL1135569,J. Med. Chem.,2002,"{'bei': '18.86', 'le': '0.36', 'lle': '5.08', 'sei': '8'}",CHEMBL358829,,CHEMBL358829,7.55,False,http://www.openphacts.org/units/Nanomolar,296607,=,1,True,=,,Kd,nM,,28,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,Kd,nM,UO_0000065,,28
34,,86348,[],CHEMBL659925,In vitro Inhibitory activity against Cathepsin S cysteine protease by using Cbz-Val-Arg-AMC,B,BAO_0000190,BAO_0000357,single protein format,C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@H]2[C@H]3OCCN3C2=O,,,CHEMBL1134985,Bioorg. Med. Chem. Lett.,2002,,CHEMBL424441,,CHEMBL424441,,False,http://www.openphacts.org/units/Nanomolar,217586,>,1,True,>,,IC50,nM,,2500,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,IC50,uM,UO_0000065,,2.5
35,,86706,[],CHEMBL658343,Inhibitory concentration against human recombinant Cathepsin S expressed in baculovirus,B,BAO_0000190,BAO_0000019,assay format,C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@@H](CCc2ccccc2)C#N,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1135569,J. Med. Chem.,2002,,CHEMBL356588,,CHEMBL356588,,False,http://www.openphacts.org/units/Nanomolar,296601,=,1,True,=,,IC50,nM,,134000,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,IC50,nM,UO_0000065,,134000
36,Not Determined,86707,[],CHEMBL658349,Equilibrium dissociation constant for Cathepsin S; ND is Not Determined,B,BAO_0000034,BAO_0000357,single protein format,C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@@H](CCc2ccccc2)C#N,,,CHEMBL1135569,J. Med. Chem.,2002,,CHEMBL356588,,CHEMBL356588,,False,,296601,,1,False,,,Kd,,,,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,Kd,,,,
37,,88458,[],CHEMBL659925,In vitro Inhibitory activity against Cathepsin S cysteine protease by using Cbz-Val-Arg-AMC,B,BAO_0000190,BAO_0000357,single protein format,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@H]2[C@H]3OCCN3C2=O,,,CHEMBL1134985,Bioorg. Med. Chem. Lett.,2002,"{'bei': '18.22', 'le': '0.35', 'lle': '5.97', 'sei': '6.79'}",CHEMBL419772,,CHEMBL419772,6.58,False,http://www.openphacts.org/units/Nanomolar,217588,=,1,True,=,,IC50,nM,,260,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,IC50,uM,UO_0000065,,0.26
38,,88744,[],CHEMBL658343,Inhibitory concentration against human recombinant Cathepsin S expressed in baculovirus,B,BAO_0000190,BAO_0000019,assay format,O=C(N[C@@H](COCc1ccccc1)C#N)[C@H](CC2CCCCC2)NC(=O)c3ccncc3,,,CHEMBL1135569,J. Med. Chem.,2002,"{'bei': '18.92', 'le': '0.35', 'lle': '4.84', 'sei': '7.9'}",CHEMBL356155,,CHEMBL356155,8.22,False,http://www.openphacts.org/units/Nanomolar,296589,=,1,True,=,,IC50,nM,,6,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,IC50,nM,UO_0000065,,6
39,,88745,[],CHEMBL658345,Equilibrium dissociation constant determined using fluorescence based competitive binding assay towards Cathepsin S,B,BAO_0000034,BAO_0000357,single protein format,O=C(N[C@@H](COCc1ccccc1)C#N)[C@H](CC2CCCCC2)NC(=O)c3ccncc3,,,CHEMBL1135569,J. Med. Chem.,2002,"{'bei': '21.07', 'le': '0.39', 'lle': '5.77', 'sei': '8.79'}",CHEMBL356155,,CHEMBL356155,9.15,False,http://www.openphacts.org/units/Nanomolar,296589,=,1,True,=,,Kd,nM,,0.7,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,Kd,nM,UO_0000065,,0.7
40,Not Determined,89377,[],CHEMBL659927,In vitro Inhibitory activity against Cathepsin S cysteine protease by using Cbz-Val-Arg-AMC; Not determined,B,BAO_0000190,BAO_0000357,single protein format,O=C(N[C@H](C(=O)N[C@H]1[C@H]2OCCN2C1=O)c3ccccc3)OCc4ccccc4,,,CHEMBL1134985,Bioorg. Med. Chem. Lett.,2002,,CHEMBL116910,,CHEMBL116910,,False,,217587,,1,False,,,IC50,,,,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,IC50,uM,,,
41,,89691,[],CHEMBL658343,Inhibitory concentration against human recombinant Cathepsin S expressed in baculovirus,B,BAO_0000190,BAO_0000019,assay format,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)NC(C)(C)C#N,,,CHEMBL1135569,J. Med. Chem.,2002,"{'bei': '22.37', 'le': '0.43', 'lle': '6.08', 'sei': '7.35'}",CHEMBL345267,,CHEMBL345267,6.94,False,http://www.openphacts.org/units/Nanomolar,296606,=,1,True,=,,IC50,nM,,114,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,IC50,nM,UO_0000065,,114
42,Not Determined,89692,[],CHEMBL658349,Equilibrium dissociation constant for Cathepsin S; ND is Not Determined,B,BAO_0000034,BAO_0000357,single protein format,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)NC(C)(C)C#N,,,CHEMBL1135569,J. Med. Chem.,2002,,CHEMBL345267,,CHEMBL345267,,False,,296606,,1,False,,,Kd,,,,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,Kd,,,,
43,,89694,[],CHEMBL658343,Inhibitory concentration against human recombinant Cathepsin S expressed in baculovirus,B,BAO_0000190,BAO_0000019,assay format,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@@H](COCc2ccccc2C)C#N,,,CHEMBL1135569,J. Med. Chem.,2002,"{'bei': '18.54', 'le': '0.35', 'lle': '5.74', 'sei': '7.45'}",CHEMBL346448,,CHEMBL346448,7.72,False,http://www.openphacts.org/units/Nanomolar,296596,=,1,True,=,,IC50,nM,,19,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,IC50,nM,UO_0000065,,19
44,,89695,[],CHEMBL658345,Equilibrium dissociation constant determined using fluorescence based competitive binding assay towards Cathepsin S,B,BAO_0000034,BAO_0000357,single protein format,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@@H](COCc2ccccc2C)C#N,,,CHEMBL1135569,J. Med. Chem.,2002,"{'bei': '20.46', 'le': '0.39', 'lle': '6.54', 'sei': '8.22'}",CHEMBL346448,,CHEMBL346448,8.52,False,http://www.openphacts.org/units/Nanomolar,296596,=,1,True,=,,Kd,nM,,3,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,Kd,nM,UO_0000065,,3
